ticket_id,created_at,resolved_at,category,severity,status,description,assignee
INC00001,2025-01-01T13:21:51,2025-01-03T14:26:42,Access,Medium,Resolved,Employee unable to access shared drive after department transfer,carla.singh
INC00002,2025-01-01T15:17:25,2025-01-12T03:21:32,Access,Low,Closed,MFA prompt loop preventing login to finance portal,henry.nakamura
INC00003,2025-01-01T18:02:41,2025-01-01T21:00:40,Access,High,Closed,Password reset link not delivered to corporate email,henry.nakamura
INC00004,2025-01-01T19:57:17,2025-01-04T05:57:01,Access,Low,Resolved,New employee cannot access required systems on first day,deepak.patel
INC00005,2025-01-01T22:03:11,2025-01-01T23:00:51,Email,Critical,Closed,Distribution list finance-team not receiving messages,grace.kim
INC00006,2025-01-02T09:50:26,2025-01-06T15:40:30,Network,Low,Resolved,Wi-Fi drops in Building C during peak hours,eva.morales
INC00007,2025-01-02T12:27:18,2025-01-03T00:47:11,Hardware,High,Resolved,Webcam not detected after latest OS update,deepak.patel
INC00008,2025-01-02T13:45:02,2025-01-03T14:07:02,Network,Medium,Resolved,Wi-Fi drops in Building B during peak hours,bob.rivera
INC00009,2025-01-02T15:49:50,2025-01-03T16:28:57,Access,Medium,Closed,"SSO token expired prematurely, users locked out of hr",bob.rivera
INC00010,2025-01-02T22:06:34,2025-01-04T03:43:21,Software,Medium,Resolved,PDF viewer hangs on documents larger than 5MB,frank.olsson
INC00011,2025-01-03T13:17:39,2025-01-03T20:33:40,Security,Critical,Resolved,"Phishing email reported by NA-West team, possible click-through",carla.singh
INC00012,2025-01-03T13:30:19,2025-01-03T18:18:50,Security,Critical,Resolved,Anomalous login from foreign IP for engineering account,grace.kim
INC00013,2025-01-03T17:09:39,2025-01-07T08:42:37,Hardware,Low,Closed,User laptop battery drains within 5 hours of unplugging,grace.kim
INC00014,2025-01-04T01:38:13,2025-01-04T14:12:01,Network,High,Closed,VPN disconnects every 10 minutes for remote users in NA-East,alice.chen
INC00015,2025-01-04T04:46:35,2025-01-11T17:35:21,Hardware,Low,Closed,Keyboard unresponsive after sleep wake on Building D machines,grace.kim
INC00016,2025-01-04T07:31:29,2025-01-06T03:54:53,Email,Low,Closed,Calendar invites from external senders not appearing in inbox,grace.kim
INC00017,2025-01-05T03:01:31,2025-01-09T18:53:45,Email,Low,Resolved,Shared mailbox permissions reset after migration,alice.chen
INC00018,2025-01-05T08:40:50,2025-01-05T23:59:46,Printing,Medium,Closed,Color printer on 4th floor reporting low toner repeatedly,alice.chen
INC00019,2025-01-06T07:40:12,2025-01-11T18:56:09,Telephony,Low,Closed,Call quality degraded during peak hours on SIP trunk,bob.rivera
INC00020,2025-01-06T08:45:53,2025-01-08T20:28:28,Email,Medium,Resolved,Cannot send email with large attachment to external domain,alice.chen
INC00021,2025-01-06T10:29:32,2025-01-06T20:44:39,Email,High,Resolved,Outlook freezes when opening attachments larger than 15MB,eva.morales
INC00022,2025-01-06T19:21:48,2025-01-10T22:36:54,Network,Low,Resolved,VLAN tagging issue preventing access to finance subnet,bob.rivera
INC00023,2025-01-07T09:10:21,2025-01-08T19:27:37,Access,Medium,Resolved,New employee cannot access required systems on first day,alice.chen
INC00024,2025-01-07T11:07:45,2025-01-07T16:46:30,Network,Critical,Resolved,Wi-Fi drops in Building D during peak hours,grace.kim
INC00025,2025-01-07T11:39:37,2025-01-12T07:33:14,Email,Low,Closed,Mailbox quota exceeded warning for NA-East users,alice.chen
INC00026,2025-01-07T14:08:36,2025-01-10T21:29:41,Printing,Low,Resolved,Driver mismatch preventing printing from NA-East laptops,deepak.patel
INC00027,2025-01-07T14:55:35,2025-01-09T11:07:27,Access,Medium,Closed,Password reset link not delivered to corporate email,frank.olsson
INC00028,2025-01-07T16:28:08,2025-01-08T00:23:57,Network,High,Resolved,VLAN tagging issue preventing access to finance subnet,eva.morales
INC00029,2025-01-08T07:18:06,2025-01-08T10:41:46,Network,Critical,Resolved,VLAN tagging issue preventing access to engineering subnet,deepak.patel
INC00030,2025-01-08T10:39:54,2025-01-08T15:17:05,Email,High,Resolved,Shared mailbox permissions reset after migration,bob.rivera
INC00031,2025-01-08T12:31:26,2025-01-09T09:55:53,Network,Medium,Closed,Cannot reach internal site finance from remote network,carla.singh
INC00032,2025-01-08T13:25:15,2025-01-08T18:46:16,Software,High,Closed,Database query timeout from finance reporting tool,eva.morales
INC00033,2025-01-08T14:36:18,2025-01-08T18:57:22,Email,Critical,Closed,Outlook freezes when opening attachments larger than 15MB,grace.kim
INC00034,2025-01-08T15:15:44,2025-01-09T02:53:23,Access,Medium,Resolved,"SSO token expired prematurely, users locked out of sales",bob.rivera
